no,IUCN,IUCNtyp,subfam,NPG,tribe,gen,ecores,trend,ndist,curdist,range,endem,alt,hbt,cult,mode,hab,ht,arm,hair,leaflmin,leaflmax,llmaxcov,leafmarg,leaftype,flordisp,hook,deh,seedsize,seedcoat
2600,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,1,2,0,2,3,NA,0,1,1,4,14,1,2,2,0,1,2,NA
2601,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,1,3,0,2,2,1,0,1,1,3,10,1,2,2,0,1,1,NA
2602,7,OTH,1,1,1,Bauhinia,0,NA,3,3,1,0,1,2,0,2,2,2,0,1,2,2,6,1,2,2,0,NA,NA,NA
2603,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,NA,1,0,2,3,3,0,1,2,5,18,1,2,2,0,1,NA,NA
2604,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,1,2,0,2,2,2,0,1,1,1,2,1,2,1,0,NA,1,NA
2605,7,OTH,1,1,1,Bauhinia,0,NA,3,3,1,1,1,3,0,2,2,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA
2606,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,1,1,0,2,3,NA,0,0,2,3,10,1,2,2,NA,NA,NA,NA
2607,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,1,1,0,2,2,1,0,1,1,2,6,1,2,2,0,1,NA,NA
2608,7,OTH,1,1,1,Bauhinia,0,NA,5,5,1,1,NA,2,0,2,1,2,0,1,1,1,2,1,3,2,0,NA,2,NA
2609,7,OTH,1,1,1,Bauhinia,0,NA,3,3,1,1,1,2,0,2,1,NA,0,1,3,4,14,1,2,2,0,NA,NA,NA
2610,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,1,2,0,2,3,NA,0,1,NA,5,18,1,2,2,0,NA,1,NA
2611,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,1,2,0,2,3,NA,0,1,1,3,10,1,2,2,0,NA,NA,NA
2612,7,OTH,1,1,1,Bauhinia,0,NA,3,3,1,0,1,1,0,2,1,2,0,1,2,3,10,1,2,2,0,NA,1,NA
2613,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,NA,NA,1,2,3,NA,0,1,1,2,6,1,3,2,0,0,1,NA
2614,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,1,1,0,2,3,NA,0,1,3,5,18,1,2,2,0,1,3,NA
2615,7,OTH,1,1,1,Bauhinia,0,NA,5,5,1,1,NA,2,0,2,1,3,0,1,1,1,2,1,3,2,NA,NA,1,NA
2616,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,NA,1,0,2,3,NA,0,1,1,2,6,1,2,2,NA,NA,NA,NA
2617,7,OTH,1,1,1,Bauhinia,0,NA,3,3,1,0,1,1,0,2,3,NA,0,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA
2618,7,OTH,1,1,1,Bauhinia,0,NA,3,3,1,0,1,1,0,2,2,2,0,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA
2619,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,1,1,0,2,2,NA,0,1,2,2,6,1,2,2,0,1,1,NA
2620,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,1,2,0,2,1,2,0,1,2,3,10,1,2,2,0,1,2,NA
2621,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,NA,2,0,2,3,NA,0,1,1,2,6,1,2,2,NA,NA,NA,NA
2622,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,NA,1,0,2,3,NA,0,0,2,4,14,1,2,2,NA,NA,NA,NA
2623,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,NA,1,0,2,3,NA,0,1,3,6,22,1,3,2,0,1,3,NA
2624,7,OTH,1,1,1,Bauhinia,0,NA,3,3,1,0,1,3,NA,2,1,2,0,1,1,2,6,1,2,2,0,NA,NA,NA
2625,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,NA,NA,0,2,1,3,0,1,NA,NA,NA,1,2,2,0,NA,3,NA
2626,7,OTH,1,1,1,Bauhinia,0,NA,3,3,1,1,1,2,0,2,1,NA,0,1,1,1,2,1,2,2,0,NA,NA,NA
2627,7,OTH,1,1,1,Bauhinia,0,NA,3,3,1,0,1,1,0,2,1,3,0,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA
2628,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,1,2,0,2,1,2,0,1,1,4,14,1,2,1,NA,1,1,NA
2629,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,1,1,0,2,3,NA,0,1,2,3,10,1,2,2,0,1,1,NA
2630,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,1,1,0,2,3,NA,0,1,1,3,10,1,2,2,0,1,2,NA
2631,7,OTH,1,1,1,Bauhinia,0,NA,3,3,1,1,1,2,0,2,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA
2632,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,1,1,0,2,3,NA,0,1,2,3,10,1,2,2,0,1,2,NA
2633,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,1,1,0,2,3,NA,0,0,3,3,10,1,2,2,NA,NA,NA,NA
2634,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,1,1,0,2,3,NA,0,1,4,6,22,1,2,2,NA,NA,NA,NA
2635,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,1,3,0,2,3,NA,0,1,2,3,10,1,2,2,0,1,3,NA
2636,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,1,1,0,2,3,NA,0,1,NA,4,14,1,2,2,0,1,NA,NA
2637,3,OTH,1,1,1,Bauhinia,-1,NA,3,3,1,1,1,1,0,2,1,2,0,1,5,6,22,1,2,2,0,NA,NA,NA
2638,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,1,1,0,2,3,NA,0,1,2,4,14,1,2,2,0,1,2,NA
2639,7,OTH,1,1,1,Bauhinia,0,NA,3,3,1,1,1,2,0,2,3,NA,NA,NA,NA,NA,NA,1,2,2,NA,1,NA,NA
2640,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,1,1,0,2,3,NA,0,0,1,2,6,1,3,2,NA,NA,NA,NA
2641,8,OTH,1,1,1,Bauhinia,1,NA,7,7,2,0,1,2,NA,2,2,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA
2642,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,1,1,0,2,3,NA,0,1,2,3,10,1,2,2,0,NA,NA,NA
2643,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,1,1,0,2,3,NA,0,1,NA,5,18,1,2,2,0,1,2,NA
2644,8,OTH,1,1,1,Bauhinia,1,NA,2,7,1,0,NA,2,NA,2,2,NA,0,1,NA,2,6,1,2,2,0,NA,1,NA
2645,7,OTH,1,1,1,Bauhinia,0,NA,5,5,1,1,NA,2,0,2,1,2,0,1,1,1,2,1,3,2,0,NA,2,NA
2646,7,OTH,1,1,1,Bauhinia,0,NA,3,7,1,0,NA,1,0,2,3,NA,1,1,1,3,10,1,2,2,0,1,NA,NA
2647,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,1,2,0,2,3,NA,0,1,NA,4,14,1,2,2,0,NA,3,NA
2648,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,1,1,0,2,3,NA,0,1,4,6,22,1,2,2,0,1,NA,NA
2649,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,1,2,0,2,3,NA,0,1,1,2,6,1,2,2,0,0,1,NA
2650,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,NA,1,0,2,3,NA,0,1,2,3,10,1,2,2,NA,NA,NA,NA
2651,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,1,3,0,2,2,2,0,1,1,1,2,1,3,2,0,1,1,NA
2652,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,1,1,0,2,2,2,0,1,1,2,6,1,2,2,0,1,1,NA
2653,7,OTH,1,1,1,Bauhinia,0,NA,3,3,1,0,NA,2,0,2,3,NA,0,1,2,6,22,1,2,2,0,1,NA,NA
2654,7,OTH,1,1,1,Bauhinia,0,NA,3,3,1,1,1,1,0,2,2,2,1,1,2,3,10,1,2,2,0,NA,NA,NA
2655,7,OTH,1,1,1,Bauhinia,0,NA,3,3,1,1,1,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2656,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,1,1,0,2,3,NA,0,1,2,2,6,1,2,2,NA,NA,NA,NA
2657,3,B,1,1,1,Bauhinia,-1,NA,3,3,1,1,1,1,0,2,1,2,0,1,2,2,6,1,2,2,0,NA,NA,NA
2658,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,1,1,0,2,3,3,0,1,2,3,10,1,2,2,0,1,NA,NA
2659,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,1,2,0,2,3,NA,0,1,3,4,14,1,2,2,0,1,2,NA
2660,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,1,2,0,2,2,2,0,0,2,3,10,1,2,2,0,1,1,NA
2661,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,1,1,0,2,2,2,0,1,3,4,14,1,2,2,0,1,1,NA
2662,7,OTH,1,1,1,Bauhinia,0,NA,5,5,1,1,NA,3,0,2,1,3,0,1,1,2,6,1,3,2,0,NA,2,NA
2663,7,OTH,1,1,1,Bauhinia,0,NA,3,3,1,1,NA,NA,0,2,3,NA,0,0,NA,3,10,1,3,2,0,NA,NA,NA
2664,3,B,1,1,1,Bauhinia,-1,NA,3,3,1,1,1,1,0,2,2,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA
2665,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,1,1,0,2,3,NA,0,1,NA,3,10,1,2,2,0,1,2,NA
2666,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,NA,1,0,2,3,NA,0,1,2,4,14,1,2,2,0,1,3,NA
2667,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,1,2,0,2,2,2,0,1,1,2,6,1,2,1,0,1,1,NA
2668,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,1,1,0,2,3,NA,0,0,1,2,6,1,2,2,0,1,NA,NA
2669,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,1,3,0,2,3,3,0,1,2,4,14,1,2,2,0,1,2,NA
2670,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,NA,1,0,2,3,NA,0,1,1,2,6,1,2,2,0,1,NA,NA
2671,7,OTH,1,1,1,Bauhinia,0,NA,3,3,1,0,1,1,0,2,3,NA,0,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA
2672,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,NA,2,0,2,3,NA,0,1,1,2,6,1,2,2,0,1,1,NA
2673,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,1,1,0,2,3,NA,0,0,4,6,22,1,2,2,NA,NA,NA,NA
2674,7,OTH,1,1,1,Bauhinia,0,NA,3,3,1,1,1,2,0,2,2,NA,NA,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA
2675,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,1,2,0,2,2,2,0,1,1,1,2,1,2,1,0,NA,1,NA
2676,7,OTH,1,1,1,Bauhinia,0,NA,3,3,1,1,1,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2677,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,1,3,0,2,3,NA,0,1,2,3,10,1,2,2,0,1,3,NA
2678,4,BD2,1,1,1,Bauhinia,-1,NA,2,2,1,1,NA,1,0,2,2,NA,0,1,1,4,14,1,2,2,0,1,NA,NA
2679,7,OTH,1,1,1,Bauhinia,0,NA,3,3,1,0,1,1,0,2,2,2,0,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA
2680,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,NA,1,0,2,3,NA,0,0,2,4,14,1,2,2,0,1,1,NA
2681,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,1,3,0,2,2,2,0,0,1,2,6,1,2,2,0,1,1,NA
2682,7,OTH,1,1,1,Bauhinia,0,NA,7,7,2,0,1,3,0,2,1,2,0,1,1,3,10,1,2,2,0,0,1,NA
2683,7,OTH,1,1,1,Bauhinia,0,NA,3,3,1,1,1,1,0,2,3,2,0,0,2,3,10,1,2,2,0,0,NA,NA
2684,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,NA,3,0,2,3,NA,0,0,3,4,14,1,2,2,NA,NA,NA,NA
2685,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,1,1,0,2,3,NA,0,1,1,2,6,1,2,2,0,1,2,NA
2686,7,OTH,1,1,1,Bauhinia,0,NA,3,3,1,0,1,1,0,2,3,NA,0,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA
2687,3,B,1,1,1,Bauhinia,-1,NA,2,2,1,1,NA,NA,0,2,2,NA,0,1,1,4,14,1,2,2,0,1,NA,NA
2688,8,OTH,1,1,1,Bauhinia,1,NA,3,8,1,0,1,1,1,2,1,2,0,1,2,4,14,1,2,2,0,1,1,NA
2689,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,1,2,0,2,2,2,0,1,1,1,2,1,3,2,0,1,1,NA
2690,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,NA,1,0,2,3,NA,0,1,2,2,6,1,2,2,NA,NA,NA,NA
2691,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,1,1,0,2,1,3,0,1,2,3,10,1,2,2,0,1,1,NA
2692,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,1,1,0,2,3,NA,0,1,3,4,14,1,2,2,NA,NA,NA,NA
2693,7,OTH,1,1,1,Bauhinia,0,NA,3,3,1,0,1,1,0,2,3,NA,0,1,NA,NA,NA,1,2,2,0,1,NA,NA
2694,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,NA,1,0,2,3,NA,0,0,3,3,10,1,2,2,0,1,2,NA
2695,2,OTH,1,1,1,Bauhinia,-1,NA,3,3,1,0,1,1,0,2,2,3,0,1,2,3,10,1,2,2,0,NA,NA,NA
2696,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,1,1,0,2,3,NA,0,1,NA,3,10,1,2,2,NA,NA,NA,NA
2697,7,OTH,1,1,1,Bauhinia,0,NA,3,3,1,0,1,3,0,2,1,2,1,1,1,2,6,1,2,2,0,NA,1,NA
2698,7,OTH,1,1,1,Bauhinia,0,NA,3,3,1,1,1,2,0,2,2,2,0,0,2,3,10,1,2,1,0,NA,NA,NA
2699,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,1,2,0,2,2,2,0,0,1,2,6,1,2,2,0,1,1,NA
2700,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,3,2,0,2,2,NA,0,1,1,2,6,1,2,2,0,1,2,NA
2701,4,B,1,1,1,Bauhinia,-1,NA,3,3,1,1,1,1,0,2,1,2,0,1,4,6,22,1,2,2,0,NA,NA,NA
2702,7,OTH,1,1,1,Bauhinia,0,NA,3,3,1,0,NA,NA,0,2,1,NA,0,1,1,2,6,1,2,2,NA,NA,NA,NA
2703,7,OTH,1,1,1,Bauhinia,0,NA,3,3,1,1,1,1,0,2,2,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA
2704,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,NA,1,0,2,2,2,0,1,2,2,6,1,2,2,0,1,NA,NA
2705,7,OTH,1,1,1,Bauhinia,0,NA,3,3,1,1,1,2,0,2,2,NA,0,0,2,3,10,1,2,2,NA,NA,NA,NA
2706,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,1,1,0,2,2,3,0,1,2,3,10,1,2,2,0,1,2,NA
2707,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,1,1,0,2,3,NA,0,0,1,2,6,1,2,2,NA,NA,NA,NA
2708,8,OTH,1,1,1,Bauhinia,1,NA,2,2,1,0,NA,2,NA,2,2,NA,0,1,3,4,14,1,2,2,0,1,2,NA
2709,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,NA,NA,0,2,3,NA,0,1,5,6,22,1,2,2,0,1,NA,NA
2710,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,NA,1,0,2,2,2,0,0,NA,5,18,1,2,2,0,1,NA,NA
2711,7,OTH,1,1,1,Bauhinia,0,NA,3,3,1,1,3,1,0,2,1,2,0,1,3,5,18,1,2,2,0,NA,2,NA
2712,7,OTH,1,1,1,Bauhinia,0,NA,3,3,1,1,3,2,0,2,2,2,0,1,1,1,2,1,2,2,0,NA,NA,NA
2713,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,NA,2,0,2,3,2,0,1,NA,4,14,1,2,2,0,1,2,NA
2714,8,OTH,1,1,1,Bauhinia,1,NA,2,8,1,0,NA,NA,NA,2,1,2,0,1,2,3,10,1,2,2,0,1,2,NA
2715,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,NA,1,0,2,3,NA,0,1,NA,6,22,1,2,2,NA,NA,NA,NA
2716,7,OTH,1,1,1,Bauhinia,0,NA,2,8,1,0,NA,1,0,2,1,3,0,1,1,2,6,1,2,2,0,0,1,NA
2717,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,NA,1,0,2,3,NA,0,1,1,2,6,1,2,2,0,1,2,NA
2718,7,OTH,1,1,1,Bauhinia,0,NA,3,3,1,0,NA,NA,0,2,3,NA,0,1,2,3,10,1,2,2,NA,NA,NA,NA
2719,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,1,1,0,2,3,NA,0,1,2,4,14,1,2,2,0,NA,NA,NA
2720,7,OTH,1,1,1,Bauhinia,0,NA,3,3,1,1,1,3,0,2,1,NA,0,0,NA,4,14,1,2,2,1,NA,NA,NA
2721,7,OTH,1,1,1,Bauhinia,0,NA,3,3,1,0,1,1,0,2,3,NA,0,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA
2722,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,1,3,0,2,2,2,0,0,2,3,10,1,2,2,0,1,2,NA
2723,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,1,1,0,2,3,3,0,0,2,2,6,1,2,2,0,1,NA,NA
2724,7,OTH,1,1,1,Bauhinia,0,NA,3,3,1,0,1,1,0,2,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2725,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,1,1,0,2,3,3,0,1,2,3,10,1,2,2,0,1,1,NA
2726,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,3,3,0,2,3,NA,0,0,1,3,10,1,2,2,0,1,NA,NA
2727,2,OTH,1,1,1,Bauhinia,-1,NA,3,3,1,1,1,1,0,2,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2728,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,NA,NA,0,2,1,NA,0,1,2,4,14,1,2,2,0,1,NA,NA
2729,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,NA,1,0,2,3,NA,0,1,NA,3,10,1,2,2,NA,NA,NA,NA
2730,7,OTH,1,1,1,Bauhinia,0,NA,3,3,1,0,1,1,0,2,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2731,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,2,1,0,2,3,NA,0,1,2,2,6,1,2,2,0,1,2,NA
2732,3,B,1,1,1,Bauhinia,-1,NA,3,3,1,1,2,2,0,2,2,2,0,1,1,2,6,1,2,2,0,1,NA,NA
2733,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,3,1,0,2,3,NA,0,1,2,2,6,1,2,2,0,1,2,NA
2734,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,NA,3,0,2,3,2,0,0,2,3,10,1,2,2,0,NA,2,NA
2735,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,NA,1,0,2,3,3,0,0,1,3,10,1,2,2,0,1,2,NA
2736,7,OTH,1,1,1,Bauhinia,0,NA,3,3,1,1,1,3,0,2,1,2,0,1,1,1,2,1,2,2,0,NA,NA,NA
2737,7,OTH,1,1,1,Bauhinia,0,NA,3,3,1,0,1,1,0,2,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2738,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,1,1,0,2,3,3,0,1,2,5,18,1,2,2,0,1,3,NA
2739,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,1,2,0,2,2,2,0,1,1,1,2,1,2,1,0,1,NA,NA
2740,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,3,2,0,2,1,2,0,1,2,5,18,1,2,2,0,0,1,NA
2741,7,OTH,1,1,1,Bauhinia,0,NA,2,8,1,0,NA,NA,NA,2,1,2,0,1,1,2,6,1,2,2,0,1,1,NA
2742,7,OTH,1,1,1,Bauhinia,0,NA,3,3,1,1,1,1,0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2743,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,NA,1,0,2,3,NA,0,1,2,3,10,1,2,2,NA,NA,NA,NA
2744,7,OTH,1,1,1,Bauhinia,0,NA,3,3,1,0,1,3,0,2,1,2,0,1,1,2,6,1,2,2,0,1,1,NA
2745,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,NA,NA,1,2,3,NA,0,1,3,6,22,1,2,2,0,1,3,NA
2746,9,OTH,1,1,1,Bauhinia,1,NA,2,8,1,0,1,1,NA,2,1,3,0,1,2,4,14,1,2,2,0,1,2,NA
2747,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,1,1,0,2,2,2,0,0,2,4,14,1,2,2,0,1,1,NA
2748,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,1,1,0,2,3,NA,0,1,NA,3,10,1,2,2,0,1,2,NA
2749,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,NA,2,0,2,3,NA,0,1,1,2,6,1,2,2,0,1,2,NA
2750,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,1,1,0,2,3,NA,0,1,1,3,10,1,2,2,0,1,NA,NA
2751,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,1,2,0,2,2,2,0,1,1,1,2,1,3,2,0,1,1,NA
2752,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,1,1,0,2,3,NA,0,0,NA,2,6,1,2,2,0,1,1,NA
2814,7,OTH,1,1,1,Brenierea,0,NA,2,2,1,1,1,2,0,2,2,2,0,1,1,1,2,1,3,2,0,1,2,NA
3239,8,OTH,1,1,1,Cercis,1,NA,1,7,1,0,1,2,NA,2,2,2,0,0,NA,2,6,1,3,2,0,1,NA,NA
3240,7,OTH,1,1,1,Cercis,0,NA,1,7,1,0,NA,1,1,2,2,2,0,0,2,3,10,1,2,2,0,NA,1,NA
3241,7,OTH,1,1,1,Cercis,0,NA,1,1,1,1,1,2,1,2,2,NA,0,1,2,3,10,1,2,2,0,NA,NA,NA
3242,7,OTH,1,1,1,Cercis,0,NA,1,1,1,1,3,1,0,2,1,3,0,1,2,3,10,1,2,2,0,NA,1,NA
3243,7,OTH,1,1,1,Cercis,0,NA,1,1,1,1,3,1,0,2,1,3,0,0,2,3,10,1,2,2,0,NA,1,NA
3244,7,OTH,1,1,1,Cercis,0,NA,1,7,1,0,2,1,0,2,1,3,0,1,2,4,14,1,2,2,0,NA,1,NA
3245,7,OTH,1,1,1,Cercis,0,NA,1,7,1,0,1,2,0,2,1,2,0,1,1,2,6,1,2,2,0,1,1,NA
5157,7,OTH,1,1,1,Gigasiphon,0,NA,2,2,1,1,1,1,0,2,2,3,0,0,3,6,22,1,2,2,0,0,3,1
5158,3,B,1,1,1,Gigasiphon,-1,NA,2,2,1,0,1,1,0,2,1,3,0,1,2,5,18,NA,2,2,0,0,3,NA
8666,7,OTH,1,1,1,Tylosema,0,NA,2,2,1,0,1,2,0,2,4,2,0,1,1,1,2,1,2,2,NA,NA,2,NA
8667,7,OTH,1,1,1,Tylosema,0,NA,2,2,1,0,3,1,0,2,4,2,0,1,2,3,10,1,2,2,NA,NA,1,NA
8668,7,OTH,1,1,1,Tylosema,0,NA,2,2,1,0,1,2,0,2,4,1,0,1,1,2,6,1,2,2,NA,NA,2,NA
